id,title,overview
1,Avatar,A marine on an alien planet becomes torn between following orders and protecting a new world.
2,Titanic,A love story unfolds on the ill-fated RMS Titanic.
3,The Dark Knight,Batman faces the Joker a criminal mastermind spreading chaos in Gotham City.
4,Inception,A thief who steals corporate secrets through dream-sharing technology is given a final mission.
5,Interstellar,A team of explorers travel through a wormhole in space to ensure humanity's survival.
6,The Matrix,A computer hacker learns about the true nature of reality and his role in the war.
7,Avengers: Endgame,Superheroes unite to reverse the damage caused by Thanos.
8,Jurassic Park,Scientists bring dinosaurs back to life but chaos erupts in the park.
9,Spider-Man,A young man gains spider-like abilities and becomes a superhero.
10,Harry Potter and the Sorcerer's Stone,A young wizard begins his journey at Hogwarts School of Witchcraft and Wizardry.
